ITEM NAME ,URL,PRICE ,RAITING 
"PAPA PAWSOME Waterless Dry Shampoo Pet Dog Care Body Spray for Mess Free Bath, Infused with Natural & Essential Ingredients - 200 Ml",https://www.amazon.in/PAPA-PAWSOME-Waterless-Essential-Ingredients/dp/B08MSKV8FF?_encoding=UTF8&psc=1,₹ 399.00,4.8
LEVIZO Men's Checkered Cotton Regular Casual Classic Fit Full Sleeves Shirt,https://www.amazon.in/LEVIZO-Checkered-Regular-Classic-Sleeves/dp/B08R78HVXK?_encoding=UTF8&psc=1,₹ 749.00,Item Not famous
"STITCHNEST Quirky Animals Printed Jute Cushion Cover, 12x12 Inches, Set of 5",https://www.amazon.in/STITCHNEST-Quirky-Animals-Printed-Cushion/dp/B08QDDGZCM?_encoding=UTF8&psc=1,"₹ 349.00 - ₹ 1,399.00",3.4
"Yogabar Wholegrain Breakfast Muesli Combo | Fruits, Nuts and Seeds | Dark Chocolate Cranberry | 700g Each",https://www.amazon.in/Yogabar-Wholegrain-Breakfast-Chocolate-Cranberry/dp/B08P767Q93?_encoding=UTF8&psc=1&smid=AA0J98CVDRG52,₹ 778.32,5.0
"Belora Paris BB Cream Naturelle - Anti Pollution I Moisturizer I Natural & Vegan Makeup I SPF30 - Honey (Dusky)  I Paraben, silicone & chemical free",https://www.amazon.in/Belora-Paris-Cream-Naturelle-Moisturizer/dp/B08LCM753H?_encoding=UTF8&psc=1,₹ 539.00,5.0
DesiDiya® Pendant Rope Lights for Ceiling Hanging Lights for Home Decoration Living Room / Hall / Balcony / Restaurant Bar Lighting ( Pack of 1 ),https://www.amazon.in/DesiDiya%C2%AE-Pendant-Decoration-Restaurant-Lighting/dp/B08R6FNQ6V?_encoding=UTF8&psc=1,₹ 255.00 - ₹ 725.00,Item Not famous
"CHARM & GLOW Amla, Aritha And Shikakai Shampoo (700ML)",https://www.amazon.in/CHARM-GLOW-Aritha-Shikakai-Shampoo/dp/B08L5BXM85?_encoding=UTF8&psc=1,₹ 198.00 - ₹ 297.00,4.8
Lil'Goodness Premium Prebiotic Dark Orange Peel Chocolate | Belgian Dark Chocolate | India's First Prebiotic Chocolate 35 g Pack of 6,https://www.amazon.in/LilGoodness-Premium-Prebiotic-Chocolate-Belgian/dp/B08MHHRSTW?_encoding=UTF8&psc=1&smid=A18O4BGSOPF3TT,₹ 270.00,4.6
CHKOKKO Men's Gym Regular Fit Sports High Neck Full Sleeves T-Shirt,https://www.amazon.in/CHKOKKO-Regular-Sports-Sleeves-T-Shirt/dp/B08NVN4DWJ?_encoding=UTF8&psc=1,₹ 665.00,3.9
"Hea MaxiMUM Energy Boosters For Women | Vitamin D, B12, Folic Acid, Zinc & other Multivitamins - For Better Absorption of Energy | 100% Vegetarian | No Artificials | Monthly Pack, Strawberry Flavour",https://www.amazon.in/MaxiMUM-Energy-Boosters-Vitamin-Multivitamins/dp/B08P8H89X5?_encoding=UTF8&psc=1,₹ 449.00 - ₹ 849.00,5.0
"Anandi Pads - Certified Organic, Compostable & Biodegradable Sanitary Pads with Disposable Bags (15 XL Pads)",https://www.amazon.in/Anandi-Pads-Compostable-Biodegradable-Disposable/dp/B08KHBFVKD?_encoding=UTF8&psc=1,₹ 299.00,Item Not famous
CHKOKKO Women's Stylish Cardigan Sweater for Winter,https://www.amazon.in/CHKOKKO-Womens-Stylish-Cardigan-Sweater/dp/B08PSP9M1G?_encoding=UTF8&psc=1,₹ 775.00 - ₹ 999.00,5.0
Belora Paris Long Stay Matte Liquid Lipstick I Leave No Evidence - Transferproof I Vegan I Paraben free - 14 Beetroot Mauve (Pink Mauve),https://www.amazon.in/Belora-Paris-Liquid-Lipstick-Evidence/dp/B08LBVHRCW?_encoding=UTF8&psc=1,₹ 539.00,4.6
The Man Company Hair Colour Shampoo Black | Enriched with Olive Oil & Aloe Vera | Ammonia & Paraben Free | Pack of 4,https://www.amazon.in/Man-Company-Shampoo-Enriched-Ammonia/dp/B08NG55Z42?_encoding=UTF8&psc=1,₹ 397.00,4.6
CHKOKKO Men's Cotton Printed Regular Fit Full Sleeves T-Shirt,https://www.amazon.in/CHKOKKO-Printed-Regular-Sleeves-T-Shirt/dp/B08PKXPMFZ?_encoding=UTF8&psc=1,₹ 484.00 - ₹ 499.00,4.8
CHKOKKO Men's Cotton Regular Fit Raglan Full Sleeves T-Shirt,https://www.amazon.in/CHKOKKO-Regular-Sleeves-T-Shirt-Melange/dp/B08PNWNMYF?_encoding=UTF8&psc=1,₹ 484.00 - ₹ 499.00,5.0
Anni Designer Women's Pure Cotton Saree Without Blouse,https://www.amazon.in/Designer-Womens-Cotton-Without-Blouse/dp/B08QZ28VF1?_encoding=UTF8&psc=1,₹ 399.00,Item Not famous
"Slurrp Farm Fudgy Chocolate Brownie Mix | Eggless, Wheat and Maida Free, 200g",https://www.amazon.in/Slurrp-Farm-Chocolate-Brownie-Eggless/dp/B08NDPT7VQ?_encoding=UTF8&psc=1,₹ 299.00,Item Not famous
The Man Company Caffeine Face Serum with Coffee Arabica & Hyaluronic Acid - 30 ml,https://www.amazon.in/Man-Company-Caffeine-Arabica-Hyaluronic/dp/B08M3VMJXS?_encoding=UTF8&psc=1,₹ 394.00,5.0
Belora Paris Long Stay Matte Liquid Lipstick I Leave No Evidence - Transferproof I Vegan I Paraben free - 13 Dragon's Pink (Fuschia Deep Pink),https://www.amazon.in/Belora-Paris-Liquid-Lipstick-Evidence/dp/B08LBW1WWJ?_encoding=UTF8&psc=1,₹ 539.00,5.0
"Meqstore 5 in 1 Stainless Steel Dining Round Square Extra Deep Compartment Divided Dinner Plate, Silver, Set of 1",https://www.amazon.in/Meqstore-Stainless-Dining-Compartment-Divided/dp/B08HHSG6PZ?_encoding=UTF8&psc=1,"₹ 279.00 - ₹ 1,499.00",4.1
"The Man Company Caffeine Beard Growth |Beard Growth, Nourishment| Coffee Arabica & Biotin |30 ml",https://www.amazon.in/Man-Company-Caffeine-Nourishment-Arabica/dp/B08M3GWB3D?_encoding=UTF8&psc=1,₹ 363.00,3.8
ANNI DESIGNER Anarkali Gold Printed Kurta & Dupatta Set,https://www.amazon.in/ANNI-DESIGNER-Anarkali-Printed-Dupatta/dp/B08PSRLMN6?_encoding=UTF8&psc=1,₹ 589.00 - ₹ 599.00,1.0
Anni Designer Women's Pure Chiffon Printed Saree,https://www.amazon.in/Designer-Chiffon-Printed-AMAL-BLUE/dp/B08R21N36C?_encoding=UTF8&psc=1,₹ 389.00 - ₹ 399.00,Item Not famous
"Sanfe Scented Panty Liners - White Lily - 25 units - for protection against leakage, discharge and rashes - Natural fragrance",https://www.amazon.in/Sanfe-Scented-Panty-Liners-protection/dp/B08QD3HVKJ?_encoding=UTF8&psc=1,₹ 120.00 - ₹ 219.00,Item Not famous
BLANCD Women's Pure Cotton Casual Oversized Round Neck Slogan Print Self Love Short Sleeve Summer Tshirt,https://www.amazon.in/BLANCD-Womens-Cotton-Casual-Oversized/dp/B08QDC75QX?_encoding=UTF8&psc=1,₹ 549.00,5.0
CASADECOR Cake Stand Planter Stool Small Garden Table for Multi Purpose,https://www.amazon.in/CASADECOR-Stand-Planter-Garden-Purpose/dp/B08LZK576Z?_encoding=UTF8&psc=1,₹ 599.00,3.5
"Bare Anatomy Aloe Vera Gel - Moisturizer for Face, Body & Hair | Intense Hydration for Skin | Easy Makeup Removal | Natural Hair Gel | 99% Pure Aloe Vera for Skin Care & Hair Care | Unisex-100gm",https://www.amazon.in/Bare-Anatomy-Aloe-Vera-Gel/dp/B08QSJNGSS?_encoding=UTF8&psc=1,₹ 350.00,5.0
The Man Company Caffeine Cleansing Face Care Kit (Face Wash 100ml + Face Scrub 100ml + Face Pack 100ml,https://www.amazon.in/Man-Company-Caffeine-Cleansing-100ml/dp/B08M3TB4XH?_encoding=UTF8&psc=1,₹ 523.00,Item Not famous
Huben Reusable Deisgner Washable and Breathable Face Masks for Women and Men (2 Pcs - Style#2),https://www.amazon.in/Huben-Reusable-Deisgner-Washable-Breathable/dp/B08MTL4VX4?_encoding=UTF8&psc=1,₹ 399.00,Item Not famous
"BIO BLOOMS AGRO INDIA PRIVATE LIMITED Poly Grow Bag for Terrace Gardening - Grow Vegetables, Fruits, Onion & Other Leafy Vegetables, UV Stabilized - 16 x 16 x 30 cm - White, Pack of 20",https://www.amazon.in/BLOOMS-AGRO-INDIA-PRIVATE-LIMITED/dp/B08M66ZL2C?_encoding=UTF8&psc=1,₹ 450.00,Item Not famous
